{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-1.4  -1.3   5   0   200       0.955864      0.0173219   -0.000898587
-1.3  -1.2   5   0   200       0.956789      0.0166354   -0.000855653
-1.2  -1.1   5   0   200       0.958333      0.0159693   -0.000811472
-1.1    -1   5   0   200       0.960052       0.015406   -0.000776875
  -1  -0.9   5   0   200        0.96161       0.015138   -0.000764603
-0.9  -0.8   5   0   200       0.964549      0.0148155   -0.000749589
-0.8  -0.7   5   0   200       0.968407      0.0144182   -0.000730839
-0.7  -0.6   5   0   200       0.971535      0.0142154   -0.000721004
-0.6  -0.5   5   0   200       0.972175      0.0143715   -0.000728572
-0.5  -0.4   5   0   200       0.973529      0.0146002   -0.000738865
-0.4  -0.3   5   0   200       0.975384      0.0146461   -0.000742233
-0.3  -0.2   5   0   200       0.977234      0.0146229    -0.00074097
-0.2  -0.1   5   0   200       0.978069      0.0147227   -0.000739613
-0.1     0   5   0   200        0.97926      0.0146613   -0.000732137
  -0   0.1   5   0   200       0.979865      0.0147917   -0.000743916
 0.1   0.2   5   0   200       0.980088      0.0147268   -0.000732504
 0.2   0.3   5   0   200       0.976666      0.0155276   -0.000773126
 0.3   0.4   5   0   200        0.97504      0.0159388   -0.000789388
 0.4   0.5   5   0   200       0.972596      0.0164367   -0.000811444
 0.5   0.6   5   0   200       0.970081      0.0168907   -0.000827266
 0.6   0.7   5   0   200       0.970968      0.0169788   -0.000833514
 0.7   0.8   5   0   200       0.970231      0.0172357   -0.000842671
 0.8   0.9   5   0   200       0.971243      0.0174132    -0.00085112
 0.9     1   5   0   200       0.973413      0.0174787   -0.000855489
   1   1.1   5   0   200       0.976088      0.0175636   -0.000866434
 1.1   1.2   5   0   200        0.98001      0.0173721   -0.000857745
 1.2   1.3   5   0   200       0.982903      0.0174035   -0.000864414
 1.3   1.4   5   0   200       0.986196       0.017547   -0.000881684
 1.4   1.5   5   0   200       0.988774      0.0178504   -0.000903806
 1.5   1.6   5   0   200       0.992183      0.0181846   -0.000932917
 1.6   1.7   5   0   200       0.996088      0.0184544   -0.000958409
 1.7   1.8   5   0   200        1.00148      0.0186903    -0.00098542
 1.8   1.9   5   0   200         1.0008      0.0198767    -0.00105773
 1.9     2   5   0   200       0.995675      0.0213839    -0.00115284
   2   2.1   5   0   200        1.01033      0.0191066    -0.00108971
 2.1   2.2   5   0   200        1.02832      0.0170958    -0.00103952
 2.2   2.3   5   0   200        1.04376      0.0154001   -0.000998418
 2.3   2.4   5   0   200        1.04755      0.0111374   -0.000835639
 2.4   2.5   5   0   200        1.05252     0.00812284   -0.000709227
 2.5   2.6   5   0   200        1.05402     0.00323079   -0.000507315
 2.6   2.7   5   0   200        1.05715   -0.000810576   -0.000323865
 2.7   2.8   5   0   200        1.06047    -0.00404086   -0.000191237
 2.8   2.9   5   0   200         1.0591    -0.00768796   -1.81383e-05
 2.9     3   5   0   200        1.05875      -0.010637    0.000117227
   3   3.1   5   0   200        1.05552     -0.0137394     0.00026054
 3.1   3.2   5   0   200        1.05204     -0.0159508    0.000370171
 3.2   3.3   5   0   200        1.04413      -0.017947     0.00046869
 3.3   3.4   5   0   200        1.03897     -0.0196239    0.000545528
 3.4   3.5   5   0   200        1.03208     -0.0204687    0.000584792
 3.5   3.6   5   0   200        1.01357     -0.0198369    0.000560342
 3.6   3.7   5   0   200       0.976943     -0.0168892    0.000432902
 3.7   3.8   5   0   200       0.958413     -0.0155711    0.000380253
 3.8   3.9   5   0   200       0.962689     -0.0153621    0.000356411
 3.9     4   5   0   200       0.964578     -0.0149603    0.000315387
   4   4.1   5   0   200       0.966952     -0.0153684    0.000311905
 4.1   4.2   5   0   200       0.967655     -0.0155347    0.000298723
 4.2   4.3   5   0   200       0.962648     -0.0156164    0.000277847
 4.3   4.4   5   0   200       0.964172     -0.0177485    0.000295467
 4.4   4.5   5   0   200       0.965441     -0.0191931    0.000307025
 4.5   4.6   5   0   200       0.966625     -0.0204053    0.000321512
 4.6   4.7   5   0   200       0.965155     -0.0215699    0.000334336
 4.7   4.8   5   0   200       0.963861      -0.022826    0.000348817
 4.8   4.9   5   0   200       0.963008     -0.0239113    0.000356913
 4.9     5   5   0   200       0.960801     -0.0259071    0.000383763
