{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-1.4  -1.3   5   0   200       0.945969      0.0213033    -0.00111113
-1.3  -1.2   5   0   200       0.947476        0.02012     -0.0010413
-1.2  -1.1   5   0   200       0.949566      0.0190519   -0.000968986
-1.1    -1   5   0   200       0.951701      0.0184181    -0.00092234
  -1  -0.9   5   0   200        0.95406      0.0182531   -0.000909246
-0.9  -0.8   5   0   200       0.958295      0.0182956   -0.000915696
-0.8  -0.7   5   0   200       0.965945      0.0177165   -0.000880623
-0.7  -0.6   5   0   200       0.971208      0.0177175   -0.000880712
-0.6  -0.5   5   0   200       0.970876      0.0182555   -0.000898546
-0.5  -0.4   5   0   200       0.971995      0.0188431   -0.000926242
-0.4  -0.3   5   0   200        0.97298      0.0190839    -0.00094146
-0.3  -0.2   5   0   200       0.973478      0.0191618   -0.000951686
-0.2  -0.1   5   0   200       0.974089      0.0192066   -0.000952549
-0.1     0   5   0   200       0.974067      0.0193064   -0.000954476
  -0   0.1   5   0   200        0.97372      0.0194358   -0.000963909
 0.1   0.2   5   0   200       0.972057      0.0193977   -0.000947117
 0.2   0.3   5   0   200       0.965711      0.0203761   -0.000999002
 0.3   0.4   5   0   200       0.961905      0.0207178    -0.00100718
 0.4   0.5   5   0   200       0.955246      0.0214196    -0.00104209
 0.5   0.6   5   0   200       0.947547      0.0219523    -0.00106115
 0.6   0.7   5   0   200       0.946313      0.0215272    -0.00104254
 0.7   0.8   5   0   200       0.942855      0.0217495    -0.00106313
 0.8   0.9   5   0   200       0.942981      0.0216933    -0.00106074
 0.9     1   5   0   200       0.945318      0.0215539    -0.00105987
   1   1.1   5   0   200        0.94965      0.0212988     -0.0010596
 1.1   1.2   5   0   200       0.955962      0.0209548    -0.00105224
 1.2   1.3   5   0   200       0.960293      0.0210964    -0.00107119
 1.3   1.4   5   0   200        0.96513        0.02135     -0.0011062
 1.4   1.5   5   0   200       0.967279      0.0219647    -0.00115436
 1.5   1.6   5   0   200       0.971411      0.0222416    -0.00118978
 1.6   1.7   5   0   200       0.975597      0.0224763    -0.00122018
 1.7   1.8   5   0   200       0.981851      0.0227313    -0.00125387
 1.8   1.9   5   0   200       0.980206      0.0241855    -0.00133219
 1.9     2   5   0   200       0.973167       0.025995    -0.00145313
   2   2.1   5   0   200       0.997651      0.0219105    -0.00131366
 2.1   2.2   5   0   200          1.023      0.0191008     -0.0012299
 2.2   2.3   5   0   200        1.04277      0.0166328    -0.00114874
 2.3   2.4   5   0   200          1.049      0.0100532   -0.000876078
 2.4   2.5   5   0   200        1.05506     0.00603473   -0.000691645
 2.5   2.6   5   0   200        1.05683    0.000152233   -0.000434276
 2.6   2.7   5   0   200        1.05918    -0.00401184   -0.000231817
 2.7   2.8   5   0   200        1.06158    -0.00703924   -9.36005e-05
 2.8   2.9   5   0   200        1.05919     -0.0102618    7.37825e-05
 2.9     3   5   0   200        1.05817     -0.0126136    0.000192957
   3   3.1   5   0   200        1.05462     -0.0150107    0.000312675
 3.1   3.2   5   0   200        1.05138     -0.0166205    0.000398504
 3.2   3.3   5   0   200        1.04372      -0.018116    0.000474829
 3.3   3.4   5   0   200        1.03894     -0.0196325    0.000545424
 3.4   3.5   5   0   200        1.03208     -0.0204687    0.000584795
 3.5   3.6   5   0   200        1.01357     -0.0198369    0.000560342
 3.6   3.7   5   0   200       0.976943     -0.0168892    0.000432902
 3.7   3.8   5   0   200       0.958413     -0.0155711    0.000380253
 3.8   3.9   5   0   200       0.962689     -0.0153621    0.000356411
 3.9     4   5   0   200       0.964578     -0.0149603    0.000315387
   4   4.1   5   0   200       0.966952     -0.0153684    0.000311905
 4.1   4.2   5   0   200       0.967655     -0.0155347    0.000298723
 4.2   4.3   5   0   200       0.962648     -0.0156164    0.000277847
 4.3   4.4   5   0   200       0.964172     -0.0177485    0.000295467
 4.4   4.5   5   0   200       0.965441     -0.0191931    0.000307025
 4.5   4.6   5   0   200       0.966625     -0.0204053    0.000321512
 4.6   4.7   5   0   200       0.965155     -0.0215699    0.000334336
 4.7   4.8   5   0   200       0.963861      -0.022826    0.000348817
 4.8   4.9   5   0   200       0.963008     -0.0239113    0.000356913
 4.9     5   5   0   200       0.960801     -0.0259071    0.000383763
